pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
511492080,0,0,0,6,24,0,0,0
751,15,112,0,0,0,0,0,0
511492083,0,0,147,206,0,0,0,0
250,64,32,0,0,0,8,0,166
2000,0,0,0,0,0,0,0,0
244,26,144,0,0,0,0,15,212
251,0,14,157,100,0,0,15,199
238,0,0,0,0,0,0,1,23
254,128,8,9,128,0,50,0,208
257,0,0,0,0,31,192,0,183
259,12,0,3,232,0,0,0,120
278,0,0,0,0,0,0,0,10
252,0,0,0,0,0,0,15,177
497,255,0,0,0,0,0,0,0
498,0,64,0,0,0,0,0,90
255,0,29,99,172,117,128,15,169
222,27,28,151,208,7,86,0,0
240,255,192,0,81,95,248,4,17
260,0,0,0,6,0,0,4,23
344,0,0,3,214,0,0,0,0
762,0,5,215,0,0,0,0,0
1046,1,55,53,71,75,65,53,48
256,78,177,214,58,192,0,15,243
496,0,31,224,0,0,0,0,0
504,64,255,128,0,0,0,11,49
511492081,3,68,0,2,0,0,0,5
495,136,0,0,0,0,0,14,223
511492083,0,0,147,206,0,0,0,0
511492084,42,0,0,0,0,0,0,0
1047,175,100,12,96,0,0,0,0
511492077,0,0,0,0,0,0,0,0
511492080,0,0,0,6,24,0,0,0
511492082,255,244,0,0,0,20,0,0
250,64,32,0,0,8,8,0,170
251,0,14,157,100,0,0,0,124
244,26,144,0,0,0,0,0,111
238,0,0,0,0,0,0,2,48
254,128,8,9,128,0,50,1,205
257,0,0,0,0,31,192,1,170
259,12,0,3,232,0,0,1,101
278,0,0,0,0,0,0,1,23
252,0,0,0,0,0,0,0,10
500,64,0,3,192,0,0,8,35
501,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0
255,0,29,99,172,117,128,0,18
222,27,28,151,208,8,237,0,0
240,255,192,0,81,95,248,5,12
260,0,0,0,6,0,0,5,10
503,0,0,0,216,0,0,0,0
1201,4,0,0,31,160,27,0,0
256,78,177,214,58,192,0,0,72
511492081,3,68,0,2,0,0,0,5
511492082,255,244,0,0,0,20,0,0
598,8,0,0,127,196,0,0,0
511492084,42,0,0,0,0,0,0,0
511492077,0,0,0,0,0,0,0,0
749,122,0,0,0,0,0,0,0
511492080,0,0,0,6,24,0,0,0
511492083,0,0,147,206,0,0,0,0
250,64,32,0,0,16,8,0,190
244,26,144,0,0,0,0,1,114
251,0,14,157,100,0,0,1,97
2000,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,3,45
254,128,8,9,128,0,50,2,234
257,0,0,0,0,31,192,2,141
259,12,0,3,232,0,0,2,66
252,0,0,0,0,0,0,1,23
278,0,0,0,0,0,0,2,48
497,255,0,0,0,0,0,0,0
498,0,64,0,0,0,0,1,71
1048,0,0,3,214,0,0,0,0
255,0,29,99,172,117,128,1,15
222,27,28,151,208,9,240,0,0
240,255,192,0,81,95,248,6,43
260,0,0,0,6,0,0,6,45
762,0,6,240,0,0,0,0,0
1049,99,0,0,12,12,0,0,0
496,0,31,224,0,0,0,0,0
256,78,177,214,58,192,0,1,85
504,64,255,128,0,0,0,12,98
495,136,0,0,0,0,0,15,194
511492082,255,244,0,0,0,20,0,0
1052,0,8,0,0,0,0,14,0
511492083,0,0,147,206,0,0,0,0
511492084,42,0,0,0,0,0,0,0
511492077,0,0,0,0,0,0,0,0
511492080,0,0,0,6,24,0,0,0
511492081,3,68,0,2,0,0,0,5
400,0,16,0,0,0,0,14,184
250,64,32,0,0,24,8,0,178
251,0,14,157,100,0,0,2,70
244,26,144,0,0,0,0,2,85
238,0,0,0,0,0,0,4,126
254,128,8,9,128,0,50,3,247
257,0,0,0,0,31,192,3,144
259,12,0,3,232,0,0,3,95
278,0,0,0,0,0,0,3,45
252,0,0,0,0,0,0,2,48
500,64,0,3,192,0,0,9,62
501,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0
255,0,29,99,172,117,128,2,40
240,255,192,0,81,95,248,7,54
222,27,28,151,208,10,215,0,0
260,0,0,0,6,0,0,7,48
503,0,0,0,216,0,0,0,0
256,78,177,214,58,192,0,2,114
511492081,3,68,0,2,0,0,0,5
511492082,255,244,0,0,0,20,0,0
511492084,42,0,0,0,0,0,0,0
