pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
256,78,113,206,57,192,0,0,155
238,0,0,0,0,0,0,3,45
254,128,8,9,128,0,50,2,234
257,0,0,0,0,31,192,2,141
259,12,0,3,232,0,0,2,66
278,0,0,0,0,0,0,2,48
497,255,0,0,0,0,0,0,0
498,0,64,0,0,0,0,1,71
504,64,255,128,0,0,0,12,98
762,0,6,240,0,0,0,0,0
511492083,0,0,147,215,0,0,0,0
511492081,3,68,0,2,0,0,0,5
244,26,144,0,0,0,0,1,114
251,0,18,156,228,0,0,1,37
511492084,42,0,0,0,0,0,0,0
511492077,0,0,0,1,0,0,0,0
511492080,0,0,0,7,24,0,0,0
240,255,192,0,81,95,248,6,43
260,0,0,0,6,0,0,6,45
511492082,255,249,0,0,0,20,0,0
252,0,0,0,0,0,0,1,23
496,0,31,224,0,0,0,0,0
255,0,28,227,156,115,128,1,0
222,27,228,151,208,11,152,0,0
250,64,32,0,0,56,8,0,130
2000,0,0,0,0,0,0,0,0
256,78,113,206,57,192,0,1,134
511492081,3,68,0,2,0,0,0,5
238,0,0,0,0,0,0,4,126
254,128,8,9,128,0,50,3,247
257,0,0,0,0,31,192,3,144
259,12,0,3,232,0,0,3,95
278,0,0,0,0,0,0,3,45
501,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0
749,115,0,0,0,0,0,0,0
1453,251,0,0,0,0,0,0,0
511492084,42,0,0,0,0,0,0,0
244,26,144,0,0,0,0,2,85
251,0,18,156,228,0,0,2,2
511492077,0,0,0,1,0,0,0,0
511492082,255,249,0,0,0,20,0,0
511492080,0,0,0,7,24,0,0,0
240,255,192,0,81,95,248,7,54
260,0,0,0,6,0,0,7,48
495,136,0,0,0,0,0,0,121
252,0,0,0,0,0,0,2,48
500,64,0,3,192,0,0,9,62
503,0,0,1,8,0,0,0,0
511492083,0,0,147,215,0,0,0,0
255,0,28,227,156,115,128,2,39
222,27,228,151,208,12,203,0,0
250,64,32,0,0,64,8,0,198
748,0,0,0,0,0,0,0,0
256,78,113,206,57,192,0,2,161
1042,0,0,17,50,128,0,0,0
238,0,0,0,0,0,0,5,99
254,128,8,9,128,0,50,4,164
257,0,0,0,0,31,192,4,195
259,12,0,3,232,0,0,4,12
278,0,0,0,0,0,0,4,126
497,255,0,0,0,0,0,0,0
498,0,64,0,0,0,0,2,96
504,64,255,128,0,0,0,13,127
506724352,128,1,0,0,0,0,0,0
511492083,0,0,147,215,0,0,0,0
762,0,7,237,0,0,0,0,0
244,26,144,0,0,0,0,3,72
251,0,18,156,228,0,0,3,31
400,0,16,0,0,0,0,4,106
511492084,42,0,0,0,0,0,0,0
511492081,3,68,0,2,0,0,0,5
240,255,192,0,81,95,248,8,141
260,0,0,0,6,0,0,8,139
511492077,0,0,0,1,0,0,0,0
252,0,0,0,0,0,0,3,45
496,0,31,224,0,0,0,0,0
511492079,255,142,255,142,0,0,0,0
511492078,0,50,46,214,0,46,5,149
511492080,0,0,0,7,24,0,0,0
511492082,255,249,0,0,0,20,0,0
255,0,28,227,156,115,128,3,58
222,27,228,151,208,13,214,0,0
250,64,32,0,0,72,8,0,202
2000,0,0,0,0,0,0,0,0
256,78,113,206,57,192,0,3,188
511492081,3,68,0,2,0,0,0,5
238,0,0,0,0,0,0,6,68
254,128,8,9,128,0,50,5,185
257,0,0,0,0,31,192,5,222
259,12,0,3,232,0,0,5,17
278,0,0,0,0,0,0,5,99
501,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0
1046,2,52,50,57,0,0,0,0
511492084,42,0,0,0,0,0,0,0
511492082,255,249,0,0,0,20,0,0
244,26,144,0,0,0,0,4,27
251,0,18,156,228,0,0,4,76
511492077,0,0,0,1,0,0,0,0
511492080,0,0,0,7,24,0,0,0
511492083,0,0,147,215,0,0,0,0
240,255,192,0,81,95,248,9,144
260,0,0,0,6,0,0,9,150
495,136,0,0,0,0,0,1,100
252,0,0,0,0,0,0,4,126
500,64,0,3,192,0,0,10,25
503,0,0,1,8,0,0,0,0
598,0,0,0,127,196,0,0,0
255,0,28,227,156,115,128,4,105
222,27,228,151,208,14,241,0,0
