event_time,pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
1723075584,973,255,253,0,0,11,34,96,185
1723075584,813,127,192,1,0,128,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,55,0,4,0,0
1723075584,773,255,196,0,7,75,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,968,8,0,0,0,0,0,0,0
1723075584,973,255,253,0,0,11,34,96,170
1723075584,781,0,0,0,0,0,0,0,0
1723075584,845,0,35,250,250,0,13,0,30
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,70,0,4,0,0
1723075584,744,50,0,240,0,0,0,0,0
1723075584,773,255,196,0,7,60,0,32,0
1723075584,1037,0,0,0,0,0,0,0,13
1723075584,1128,0,5,64,0,0,1,0,192
1723075584,1010,0,0,0,0,0,0,0,0
1723075584,1074,129,20,64,0,0,12,57,18
1723075584,1426,20,88,0,42,60,17,75,235
1723075584,973,255,253,0,0,11,34,96,155
1723075584,1293,0,0,0,0,0,90,140,175
1723075584,813,127,192,1,0,128,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,85,0,4,0,0
1723075584,749,63,0,0,0,0,0,0,0
1723075584,773,255,196,0,7,45,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,909,0,0,0,0,175,245,70,0
1723075584,1101,0,0,0,0,0,0,0,0
1723075584,968,8,0,0,0,0,0,0,0
1723075584,1032,0,0,0,0,0,0,0,0
1723075584,1106,0,0,0,3,0,0,0,0
1723075584,973,255,254,0,0,11,34,96,124
1723075584,1069,30,0,211,254,0,0,0,0
1723075584,781,0,0,0,0,0,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,100,0,4,0,0
1723075584,744,50,0,240,0,0,0,0,0
1723075584,773,255,196,0,7,30,0,32,0
1723075584,845,0,35,250,250,0,14,0,30
1723075584,1037,0,0,0,0,0,0,0,14
1723075584,952,255,255,205,255,205,205,224,4
1723075584,1080,50,50,50,0,0,0,0,0
1723075584,1042,24,0,0,1,0,58,24,0
1723075584,973,255,254,0,0,11,34,96,109
1723075584,813,127,192,1,0,128,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,115,0,4,0,0
1723075584,773,255,196,0,7,15,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,968,8,0,0,0,0,0,0,0
1723075584,1173,127,0,32,127,0,0,0,0
1723075584,1266,48,192,147,80,95,68,192,20
1723075584,1330,129,166,52,0,0,0,0,0
1723075584,973,255,254,0,0,11,34,96,94
1723075584,781,0,0,0,0,0,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,130,0,4,0,0
1723075584,744,50,0,240,0,0,0,0,0
1723075584,773,255,196,0,7,240,0,32,0
1723075584,845,0,35,250,250,0,15,0,30
1723075584,1037,0,0,0,0,0,0,0,15
1723075584,1128,0,5,64,0,0,1,0,192
1723075584,973,255,254,0,0,11,34,96,79
1723075584,813,127,192,1,0,128,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,145,0,4,0,0
1723075584,749,32,0,0,0,0,0,0,0
1723075584,114,2,0,0,0,0,0,0,0
1723075584,773,255,196,0,7,225,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,909,0,0,0,0,175,4,70,0
1723075584,1101,0,0,0,0,0,0,0,0
1723075584,968,8,0,0,0,0,0,0,0
1723075584,1032,0,0,0,0,0,0,0,0
1723075584,1010,0,0,0,0,0,0,0,0
1723075584,1074,129,21,64,0,0,12,57,18
1723075584,1554,0,32,2,6,1,86,0,16
1723075584,973,255,253,0,0,11,34,96,64
1723075584,781,0,0,0,0,0,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,160,0,4,0,0
1723075584,744,50,0,240,0,0,0,0,0
1723075584,773,255,196,0,7,210,0,32,0
1723075584,845,0,35,250,250,0,0,0,30
1723075584,1037,0,0,0,0,0,0,0,0
1723075584,952,255,255,205,255,205,205,240,4
1723075584,1106,0,0,0,3,0,0,0,0
1723075584,1938,0,0,0,0,0,64,0,1
1723075584,973,255,253,0,0,11,34,96,49
1723075584,1069,30,0,196,254,0,0,0,0
1723075584,813,127,192,1,0,128,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,191,0,4,0,0
1723075584,773,255,196,0,7,195,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,1416,254,0,0,0,0,61,32,6
1723075584,968,8,0,0,0,0,0,0,0
1723075584,1080,50,50,50,0,0,0,0,0
1723075584,1160,59,0,102,0,0,58,0,0
1723075584,1400,0,0,0,0,0,0,0,0
1723075584,1042,24,0,0,1,0,58,24,0
1723075584,1390,240,32,0,0,0,0,0,0
1723075584,973,255,253,0,0,11,34,96,34
1723075584,781,0,0,0,0,0,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,206,0,4,0,0
1723075584,744,50,0,240,0,0,0,0,0
1723075584,773,255,196,0,7,180,0,32,0
1723075584,845,0,35,250,250,0,1,0,30
1723075584,1037,0,0,0,0,0,0,0,1
1723075584,1166,0,0,0,0,0,0,0,0
1723075584,1128,0,5,64,0,0,1,0,192
1723075584,1294,0,0,0,2,0,0,255,15
1723075584,1394,80,128,90,224,0,0,0,0
1723075584,973,255,253,0,0,11,34,96,19
1723075584,813,127,192,1,0,128,0,0,0
1723075584,749,17,0,0,0,0,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,221,0,4,0,0
1723075584,773,255,196,0,7,165,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,909,0,0,0,0,175,19,70,0
1723075584,1101,0,0,0,0,0,0,0,0
1723075584,968,8,0,0,0,0,0,0,0
1723075584,1032,0,0,0,0,0,0,0,0
1723075584,973,255,253,0,0,11,34,96,4
1723075584,781,0,0,0,0,0,0,0,0
1723075584,845,0,35,250,250,0,2,0,30
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,236,0,4,0,0
1723075584,744,50,0,240,0,0,0,0,0
1723075584,773,255,196,0,7,150,0,32,0
1723075584,1037,0,0,0,0,0,0,0,2
1723075584,952,255,255,205,255,205,205,0,4
1723075584,1010,0,0,0,0,0,0,0,0
1723075584,1074,129,22,64,0,0,12,57,18
1723075584,1426,20,88,0,42,60,17,75,238
1723075584,973,255,253,0,0,11,34,96,245
1723075584,1293,0,0,0,0,0,90,140,190
1723075584,813,127,192,1,0,128,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,251,0,4,0,0
1723075584,773,255,196,0,7,135,0,32,0
1723075584,840,0,50,41,50,193,1,68,0
1723075584,968,8,0,0,0,0,0,0,0
1723075584,1106,0,0,0,3,0,0,0,0
1723075584,973,255,253,0,0,11,34,96,230
1723075584,1069,30,0,181,254,0,0,0,0
1723075584,781,0,0,0,0,0,0,0,0
1723075584,520,0,0,50,0,12,50,50,50
1723075584,552,50,0,0,10,0,4,0,0
