pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
5,0,16,0,0,1,0,236,191
95,0,0,248,0,0,0,208,22
213,0,0,64,0,0,0,224,39
257,0,0,160,0,0,0,208,16
260,0,0,3,0,255,0,224,8
513,0,0,0,0,0,0,224,184
515,0,0,0,0,0,0,0,0
581,128,40,128,129,128,128,208,133
243,221,255,0,0,0,138,80,246
517,2,140,12,15,15,0,0,192
69,0,255,0,0,0,0,176,111
109,64,230,112,43,0,0,0,0
261,2,97,127,0,0,152,131,100
461,39,238,103,238,39,238,224,74
115,40,0,255,255,255,0,111,223
3,16,17,16,0,4,255,112,17
14,63,255,63,255,15,255,0,255
373,2,1,0,15,0,0,240,225
753,91,36,1,0,0,0,255,255
109,64,230,128,84,0,0,0,0
331,7,237,10,63,7,238,96,22
461,39,238,103,238,39,238,240,135
115,40,0,255,255,255,0,127,18
3,16,17,16,0,4,255,128,110
14,63,255,63,255,15,255,0,255
855,3,0,247,255,255,255,255,255
5,0,16,0,0,1,0,252,114
95,0,0,248,0,0,0,224,92
213,0,0,64,0,0,0,240,234
257,0,0,160,0,0,0,224,90
260,0,0,3,0,255,0,240,197
513,0,0,0,0,0,0,240,117
515,0,0,0,0,0,0,0,0
581,128,42,128,129,127,128,224,133
243,221,255,0,0,0,138,96,188
69,0,255,0,0,0,0,192,54
109,64,230,144,153,0,0,0,0
261,2,96,127,0,0,152,147,239
461,39,238,103,238,39,238,0,248
115,40,0,255,255,255,0,143,109
925,33,0,1,38,0,136,112,111
3,16,17,16,0,4,255,144,163
14,63,255,63,255,15,255,0,255
759,128,33,0,150,65,24,0,0
841,0,200,255,66,98,100,240,96
373,2,1,0,15,0,0,0,158
885,3,7,53,63,63,7,0,0
846,255,255,255,255,255,255,55,255
753,91,36,1,0,0,0,255,255
109,64,230,160,211,0,0,0,0
254,0,150,36,3,2,49,0,255
331,7,237,10,63,7,238,112,219
115,40,0,255,255,255,0,159,160
461,39,238,103,238,39,238,16,53
249,24,0,0,125,0,0,240,170
3,16,17,16,0,4,255,160,233
14,63,255,63,255,15,255,0,255
5,0,16,0,0,1,0,12,13
95,0,0,248,0,0,0,240,145
213,0,0,64,0,0,0,0,149
257,0,0,160,0,0,0,240,151
260,0,0,3,0,255,0,0,186
513,0,0,0,0,0,0,0,10
515,0,0,0,0,0,0,0,0
581,128,49,128,129,128,128,240,133
243,221,255,0,0,0,138,112,113
980,0,0,0,0,0,0,0,0
69,0,255,0,0,0,0,208,251
109,64,230,176,30,0,0,0,0
255,0,150,4,3,4,0,7,255
261,2,95,127,0,0,152,163,92
461,39,238,103,238,39,238,32,127
115,40,0,255,255,255,0,175,234
781,102,79,94,255,255,1,180,129
965,255,48,3,0,241,0,48,0
3,16,17,16,0,4,255,176,36
14,63,255,63,255,15,255,0,255
373,2,1,0,15,0,0,16,83
753,91,36,1,0,0,0,255,255
1026,253,4,4,15,16,0,0,7
931,0,255,2,0,0,0,0,0
109,64,230,192,71,0,0,0,0
222,0,150,20,3,0,126,80,204
115,40,0,255,255,255,0,191,39
331,7,237,10,63,7,238,128,164
461,39,238,103,238,39,238,48,178
3,16,17,16,0,4,255,192,125
14,63,255,63,255,15,255,0,255
5,0,16,0,0,1,0,28,192
95,0,0,248,0,0,0,0,238
213,0,0,64,0,0,0,16,88
257,0,0,160,0,0,0,0,232
260,0,0,3,0,255,0,16,119
513,0,0,0,0,0,0,16,199
515,0,0,0,0,0,0,0,0
581,128,52,128,129,128,128,0,133
243,221,255,0,0,0,138,128,14
645,7,0,255,192,255,255,255,255
893,0,0,230,35,99,0,255,255
69,0,255,0,0,0,0,224,177
105,0,0,0,0,0,0,0,0
109,64,230,208,138,0,0,0,0
261,2,95,127,0,0,152,179,145
461,39,238,103,238,39,238,64,235
115,40,0,255,255,255,0,207,126
829,0,70,0,63,0,0,0,0
643,149,5,192,19,0,107,21,125
3,16,17,16,0,4,255,208,176
14,63,255,63,255,15,255,0,255
373,2,1,0,15,0,0,32,25
753,91,36,1,0,0,0,255,255
520,0,0,0,0,0,0,0,10
109,64,230,224,192,0,0,0,0
331,7,238,10,63,7,238,144,163
115,40,0,255,255,255,0,223,179
461,39,238,103,238,39,238,80,38
514,4,0,0,247,0,0,0,0
774,255,3,255,255,255,254,31,255
301,15,15,0,0,64,38,78,210
3,16,17,16,0,4,255,224,250
14,63,255,63,255,15,255,0,255
5,0,16,0,0,1,0,44,138
95,0,0,248,0,0,0,16,35
213,0,0,64,0,0,0,32,18
257,0,0,160,0,0,0,16,37
1,12,192,223,172,170,3,128,207
260,0,0,3,0,255,0,32,61
513,0,0,0,0,0,0,32,141
515,0,0,0,0,0,0,0,0
581,128,49,128,129,127,128,16,133
583,0,0,0,0,0,0,0,3
243,221,255,0,0,0,138,144,195
519,0,3,41,173,4,219,29,127
69,0,255,0,0,0,0,240,124
109,64,230,240,13,0,0,0,0
261,2,92,127,0,0,153,195,78
461,39,239,103,239,39,239,96,251
115,40,0,255,255,255,0,239,249
894,100,100,100,255,255,255,0,255
518,0,0,2,34,32,4,250,3
3,16,17,16,0,4,255,240,55
14,63,255,63,255,15,255,0,255
373,2,1,0,15,0,0,48,212
753,91,36,1,0,0,0,255,255
109,64,230,0,114,0,0,0,0
331,7,238,10,63,7,239,160,165
115,40,0,255,255,255,0,255,52
461,39,239,103,239,39,239,112,54
3,16,17,16,0,4,255,0,72
14,63,255,63,255,15,255,0,255
5,0,16,0,0,1,0,60,71
95,0,0,248,0,0,0,32,105
213,0,0,64,0,0,0,48,223
257,0,0,160,0,0,0,32,111
260,0,0,3,0,255,0,48,240
513,0,0,0,0,0,0,48,64
515,0,0,0,0,0,0,0,0
581,128,65,128,129,128,128,32,133
243,221,255,0,0,0,138,160,137
69,0,255,0,0,0,0,0,3
109,64,230,16,191,0,0,0,0
517,2,140,12,15,15,0,0,192
261,2,92,127,0,0,153,211,131
115,40,0,255,255,255,0,15,75
461,39,239,103,239,39,239,128,73
3,16,17,16,0,4,255,16,133
14,63,255,63,255,15,255,0,255
373,2,1,0,15,0,0,64,141
753,91,36,1,0,0,0,255,255
109,64,230,32,245,0,0,0,0
331,7,240,10,63,7,239,176,255
115,40,0,255,255,255,0,31,134
461,39,239,103,239,39,239,144,132
3,16,17,16,0,4,255,32,207
14,63,255,63,255,15,255,0,255
855,3,0,247,255,255,255,255,255
5,0,16,0,0,1,0,76,30
95,0,0,248,0,0,0,48,164
213,0,0,64,0,0,0,64,134
257,0,0,160,0,0,0,48,162
260,0,0,3,0,255,0,64,169
513,0,0,0,0,0,0,64,25
515,0,0,0,0,0,0,0,0
581,128,50,128,129,128,128,48,133
243,221,255,0,0,0,138,176,68
69,0,255,0,0,0,0,16,206
109,64,230,48,56,0,0,0,0
261,2,94,127,0,0,153,227,69
461,39,239,103,239,39,239,160,206
115,40,0,255,255,255,0,47,204
925,33,0,1,38,0,136,112,119
3,16,17,16,0,4,255,48,2
14,63,255,63,255,15,255,0,255
841,0,200,255,66,98,100,240,96
373,2,1,0,15,0,0,80,64
885,3,7,53,63,63,7,0,0
846,255,255,255,255,255,255,55,255
753,91,36,1,0,0,0,255,255
755,80,69,0,0,0,32,0,255
109,64,230,64,97,0,0,0,0
331,7,240,10,63,7,239,192,166
115,40,0,255,255,255,0,63,1
461,39,239,103,239,39,239,176,3
851,64,0,0,0,0,0,0,0
249,24,0,0,125,0,0,0,213
3,16,17,16,0,4,255,64,91
14,63,255,63,255,15,255,0,255
5,0,16,0,0,1,0,92,211
95,0,0,248,0,0,0,64,253
822,125,66,0,0,0,0,0,0
213,0,0,64,0,0,0,80,75
257,0,0,160,0,0,0,64,251
260,0,0,3,0,255,0,80,100
513,0,0,0,0,0,0,80,212
515,0,0,0,0,0,0,0,0
581,128,54,128,129,128,128,64,133
243,221,255,0,0,0,138,192,29
980,0,0,0,0,0,0,0,0
69,0,255,0,0,0,0,32,132
