pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
115,40,0,255,255,255,0,127,18
5,0,0,0,0,1,0,108,141
95,0,0,248,0,0,0,80,48
3,16,17,16,0,4,255,64,91
14,63,255,63,255,15,255,0,255
213,0,0,64,0,0,0,96,1
257,0,0,160,0,0,0,80,54
260,0,0,3,0,255,0,96,46
513,0,0,0,0,0,0,96,158
515,0,0,0,0,0,0,0,0
581,255,255,255,255,255,255,80,255
331,7,249,10,66,7,248,96,178
461,39,248,103,248,39,248,224,154
893,0,0,227,147,99,0,255,255
69,0,255,0,0,0,0,32,132
109,64,230,80,172,0,0,0,0
115,40,0,255,255,255,0,143,109
373,2,1,0,15,0,0,112,199
3,16,17,16,0,4,255,80,150
14,63,255,63,255,15,255,0,255
261,0,0,127,0,0,63,128,130
461,39,248,103,248,39,248,240,87
781,94,77,91,255,255,0,0,129
109,64,230,96,230,0,0,0,0
115,40,0,255,255,255,0,159,160
5,0,0,0,0,1,0,124,64
95,0,0,248,0,0,0,96,122
3,16,17,16,0,4,255,96,220
14,63,255,63,255,15,255,0,255
213,0,0,64,0,0,0,112,204
257,0,0,160,0,0,0,96,124
774,255,3,255,255,255,254,31,255
260,0,0,3,0,255,0,112,227
513,0,0,0,0,0,0,112,83
515,0,0,0,0,0,0,0,0
581,255,255,255,255,255,255,96,255
331,7,249,10,66,7,248,112,127
461,39,248,103,248,39,248,0,40
69,0,255,0,0,0,0,48,73
109,64,230,112,43,0,0,0,0
115,40,0,255,255,255,0,175,234
373,2,1,0,15,0,0,128,184
3,16,17,16,0,4,255,112,17
14,63,255,63,255,15,255,0,255
261,0,0,127,0,0,63,144,79
461,39,248,103,248,39,248,16,229
829,0,6,0,63,0,0,0,0
109,64,230,128,84,0,0,0,0
115,40,0,255,255,255,0,191,39
5,0,0,0,0,1,0,140,63
95,0,0,248,0,0,0,112,183
3,16,17,16,0,4,255,128,110
14,63,255,63,255,15,255,0,255
213,0,0,64,0,0,0,128,179
257,0,0,160,0,0,0,112,177
260,0,0,3,0,255,0,128,156
513,0,0,0,0,0,0,128,44
515,0,0,0,0,0,0,0,0
581,255,255,255,255,255,255,112,255
583,0,0,0,0,0,0,0,3
331,7,249,10,66,7,248,128,0
461,39,248,103,248,39,248,32,175
514,4,0,0,247,0,0,0,0
517,2,120,12,15,63,0,0,192
69,0,255,0,0,0,0,64,16
109,64,230,144,153,0,0,0,0
115,40,0,255,255,255,0,207,126
980,0,0,0,0,0,0,0,0
373,2,1,0,15,0,0,144,117
3,16,17,16,0,4,255,144,163
14,63,255,63,255,15,255,0,255
965,255,48,3,0,241,0,48,1
261,0,0,127,0,0,63,160,5
461,39,248,103,248,39,248,48,98
894,100,100,100,255,255,255,0,255
109,64,230,160,211,0,0,0,0
115,40,0,255,255,255,0,223,179
931,0,255,2,0,0,0,0,0
5,0,0,0,0,1,0,156,242
95,0,0,248,0,0,0,128,200
3,16,17,16,0,4,255,160,233
14,63,255,63,255,15,255,0,255
213,0,0,64,0,0,0,144,126
257,0,0,160,0,0,0,128,206
260,0,0,3,0,255,0,144,81
513,0,0,0,0,0,0,144,225
515,0,0,0,0,0,0,0,0
581,255,255,255,255,255,255,128,255
331,7,249,10,66,7,248,144,205
461,39,248,103,248,39,248,64,59
69,0,255,0,0,0,0,80,221
109,64,230,176,30,0,0,0,0
115,40,0,255,255,255,0,239,249
645,7,0,255,192,255,255,255,255
373,2,0,0,15,0,0,160,121
3,16,17,16,0,4,255,176,36
14,63,255,63,255,15,255,0,255
855,3,0,247,255,255,255,255,255
643,149,5,192,19,192,106,21,125
261,0,0,127,0,0,63,176,200
105,68,64,0,0,0,0,0,0
461,39,248,103,248,39,248,80,246
109,64,230,192,71,0,0,0,0
1025,253,2,4,15,16,0,0,7
115,40,0,255,255,255,0,255,52
925,255,0,255,255,0,136,112,103
5,0,0,0,0,1,0,172,184
95,0,0,248,0,0,0,144,5
3,16,17,16,0,4,255,192,125
14,63,255,63,255,15,255,0,255
